Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
A1BG	4	6	2	7	6	7
A1CF	41	33	42	32	42	32
A2M	1	3	1	4	3	7
A2ML1	3	2	2	6	7	3
A2MP1	3	2	2	1	1	0
A3GALT2	1	4	4	3	2	1
A4GALT	420	344	291	327	360	371
A4GNT	1	1	2	1	3	3
AA06	0	0	0	0	0	0
AAAS	2452	2192	1977	2054	2134	2100
AACS	3234	2804	2609	1678	1670	1742
AACSP1	1544	1369	1300	1926	2015	1963
AADAC	1	1	0	1	3	1
AADACL2	0	0	0	1	3	3
AADACL3	16	16	13	1	3	3
AADACL4	0	0	0	0	0	0
AADACP1	23	11	11	36	26	37
AADAT	2167	1748	1752	1413	1490	1497
AAED1	661	583	583	751	757	818
AAGAB	3653	3142	3036	1932	1799	2080
AAK1	4604	3905	3785	3322	3329	3625
AAMDC	751	623	584	612	613	645
AAMP	7341	6365	5724	4406	4631	4797
AANAT	20	19	23	33	11	26
AAR2	2954	2462	2427	2715	2830	2989
AARD	69	59	57	115	125	142
AARS	32130	27261	25888	20169	21137	21778
AARS2	2569	2308	2069	1848	1954	2077
AARSD1	2817	2529	2439	1752	1785	1843
AASDH	2098	1741	1686	1531	1524	1645
AASDHPPT	5216	4693	4525	4727	4705	4952
AASS	498	399	408	1395	1488	1543
AATBC	82	91	66	19	34	30
AATF	6372	5430	5220	4042	4173	4223
AATK	214	187	152	104	109	118
ABALON	206	162	189	76	70	81
ABAT	26	26	17	172	206	226
ABCA1	1901	1569	1487	2272	2320	2410
ABCA10	256	254	216	247	286	274
ABCA11P	1718	1376	1390	1084	1035	1105
ABCA12	99	81	65	58	48	54
ABCA13	385	339	328	776	827	868
ABCA17P	74	74	53	56	66	103
ABCA2	13529	11940	10698	19119	20349	20868
ABCA3	301	271	267	720	737	739
ABCA4	564	447	479	276	223	270
ABCA5	278	249	230	425	421	442
ABCA6	4	2	0	13	8	6
ABCA7	2226	1967	1777	804	806	833
ABCA8	7	9	8	148	137	159
ABCA9	75	68	61	77	90	75
ABCB1	25	19	18	4	4	2
ABCB10	1015	900	852	711	806	781
ABCB11	1	3	3	1	0	1
ABCB4	8	5	7	8	4	6
ABCB5	99	97	58	74	67	62
ABCB6	1112	889	903	1149	1162	1166
ABCB7	1715	1406	1447	1171	1196	1341
ABCB8	1067	945	886	617	646	652
ABCB9	743	723	623	588	540	621
ABCC1	4345	3947	3710	4133	4147	4398
ABCC10	1510	1294	1158	1317	1307	1351
ABCC11	32	18	30	56	47	55
ABCC12	71	57	56	8	6	7
ABCC13	18	10	18	10	9	10
ABCC2	228	227	216	153	144	176
ABCC3	3489	3183	2883	1170	1162	1205
ABCC4	4162	3685	3582	4109	4050	4460
ABCC5	1729	1406	1458	1917	2079	2110
ABCC6	43	24	33	81	96	109
ABCC6P1	0	0	1	0	0	0
ABCC6P2	7	8	4	20	13	10
ABCC8	1	0	0	0	0	0
ABCC9	1720	1582	1441	1785	1718	1816
ABCD1	464	407	357	628	695	745
ABCD2	5	9	3	62	52	72
ABCD3	3253	2777	2796	2258	2210	2431
ABCD4	2645	2267	2189	3072	3219	3297
ABCE1	16496	14340	14336	10195	9924	10468
ABCF1	6501	5807	5661	5124	5239	5601
ABCF2	4562	3919	3866	3395	3376	3736
ABCF3	2718	2419	2377	2382	2509	2616
ABCG1	46	33	35	22	21	23
ABCG2	290	275	273	271	293	305
ABCG4	0	1	3	3	3	4
ABCG5	0	1	0	3	2	1
ABCG8	1	2	1	2	2	1
ABHD1	28	18	18	14	10	14
ABHD10	2103	1822	1726	1577	1572	1736
ABHD11	2188	2020	1786	868	893	958
ABHD12	8814	7657	7115	5591	5531	5949
ABHD12B	104	104	106	94	74	101
ABHD13	1043	960	945	893	924	901
ABHD14A	733	725	627	1692	1641	1784
ABHD14B	3913	3551	3164	3306	3301	3486
ABHD15	834	805	765	498	522	557
ABHD16A	2442	2068	1977	1608	1659	1741
ABHD16B	287	252	200	241	286	270
ABHD17A	1394	1356	1154	1206	1342	1401
ABHD17B	1434	1257	1202	1141	1288	1186
ABHD17C	2161	1763	1767	482	468	495
ABHD18	1601	1333	1437	998	920	1042
ABHD2	11141	9511	9373	6477	6672	7046
ABHD3	1158	1018	984	400	395	446
ABHD4	2614	2116	1932	3879	3941	4325
ABHD5	2000	1746	1649	1123	1072	1130
ABHD6	312	266	279	295	299	307
ABHD8	266	220	210	390	387	376
ABI1	2930	2539	2404	1919	2058	2022
ABI2	5033	4318	4086	5297	5356	5603
ABI3	1	0	0	3	4	0
ABI3BP	7	6	11	22	23	21
ABL1	11094	9392	9141	10925	11243	11847
ABL2	9567	8107	7980	8465	8581	9167
ABLIM1	7980	6886	6616	7116	7233	7749
ABLIM2	138	116	93	381	392	442
ABLIM3	2940	2637	2408	1332	1324	1465
ABO	153	123	129	63	65	78
ABR	5292	4595	4388	5071	5113	5416
ABRA	10	5	8	8	11	7
ABRACL	1338	1218	1102	414	429	478
ABT1	2299	2018	1873	1396	1352	1464
ABTB1	586	542	419	861	909	958
ABTB2	1025	896	847	522	588	596
ACAA1	2197	1962	1878	1093	1182	1269
ACAA2	764	584	628	392	394	421
ACACA	15649	13201	13120	5913	6092	6416
ACACB	370	296	297	322	332	335
ACAD10	1604	1379	1340	1886	1914	2033
ACAD11	1376	1095	1059	2075	2291	2334
ACAD8	2124	1908	1854	1806	1919	2019
ACAD9	2556	2210	2060	2127	2080	2108
ACADL	4	5	3	4	5	6
