"T01" "T02" "T03" "T71" "T72" "T23"
"ADAM8" 4108 3738 3337 732 737 789
"ANAPC7" 3881 3209 3379 2476 2424 2683
"BAMBI" 1 2 0 1 1 3
"CDKN2B" 1706 1664 1474 2781 2934 2967
"FBXO44" 752 675 580 794 841 873
"GALNT18" 1142 1071 1033 318 319 353
"IDH2" 2377 2189 1883 1370 1429 1554
"IGDCC4" 17 7 8 12 7 9
"KRT16P1" 67 66 76 0 0 3
"LOC642643" 178 135 140 319 277 305
"LYRM5" 1658 1480 1346 1580 1695 1608
"MCUR1" 2816 2502 2362 1577 1653 1774
"MIPOL1" 1528 1333 1222 994 949 1016
"MIR3127" 1 0 1 0 1 2
"MRPS23" 3845 3410 3099 2083 2133 2245
"NCEH1" 1560 1341 1294 766 764 794
"NHEJ1" 568 480 469 598 555 584
"NUTM2G" 56 62 68 58 73 77
"RPL34" 24355 20980 19378 17784 18781 19825
"SCARNA9" 52 64 50 35 58 50
"SNORA2B" 5 9 4 7 5 3
"ZNF160" 1617 1360 1371 1366 1311 1509
